Name,Position,Total Pass,Accurate Pass,Total Long Balls,Accurate Long Balls,Total Cross,Accurate Cross,Aerial Won,Aerial Lost,Duel Lost,Duel Won,Total Dribbles,Successful Dribbles,Big Chance Created,Big Chance Missed,Interception Won,Dribbled Past,Dispossessed,Error Lead To Shot,Total Tackle,Fouls,Was Fouled,Total Clearance,Key Pass,Shots On Target,Shots Off Target,Goal Assist,Goals,Woodwork,Saves,Punches,Save From Inside The Box,Last Man Tackle,Shots Blocked,Blocked Shots,Total Keeper Sweeper,Accurate Keeper Sweeper,Touches,Total OffSide,Possession Lost Ctrl,Own Goals,MinutesPlayed,place,Team,SofaScore Rating
L. Rioja,M,23,17,2,1,5,1,0,2,8,0,1,0,0,0,0,0,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,36,1,13,0,90,Home,Deportivo Alavés,6.1
Joselu,F,14,9,1,1,0,0,4,2,2,9,1,1,0,1,0,0,0,0,1,1,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,28,0,7,0,71,Home,Deportivo Alavés,6.9
L. Pérez,F,22,16,2,1,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,35,1,13,0,72,Home,Deportivo Alavés,8.1
A. Sivera,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
M. Aguirregabiria,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
A. Rodríguez,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
A. Marín,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
J. López,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
T. Tavares,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
R. Ely,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
M. García,M,10,6,0,0,0,0,2,2,6,3,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,7,0,34,Home,Deportivo Alavés,6.2
B. Sainz,M,2,0,0,0,1,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,18,Home,Deportivo Alavés,6.1
J. Guidetti,F,11,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,19,Home,Deportivo Alavés,6.5
Deyverson,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Deportivo Alavés,0
J. Doménech,G,22,11,13,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31,0,11,0,90,Away,Valencia,6.3
D. Wass,D,62,48,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,80,0,18,0,90,Away,Valencia,6.9
G. Paulista,D,70,68,6,6,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,81,0,2,0,90,Away,Valencia,7
H. Guillamón,D,78,72,17,14,0,0,0,1,5,2,1,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,88,0,10,0,90,Away,Valencia,6.9
J. L. Gayà,D,44,36,1,1,4,0,0,2,5,4,2,2,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,13,0,89,Away,Valencia,6.7
Y. Musah,M,21,19,0,0,1,0,1,1,6,11,4,3,0,0,0,0,1,0,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,7,0,90,Away,Valencia,6.9
U. Račić,M,47,39,9,7,0,0,5,5,9,7,3,1,0,0,2,0,1,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,64,0,12,0,90,Away,Valencia,7
C. Soler,M,65,58,7,6,3,2,0,0,2,3,0,0,1,0,0,1,0,0,1,1,2,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,76,0,9,0,90,Away,Valencia,7.5
D. Cheryshev,M,11,8,0,0,4,0,1,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23,0,9,0,58,Away,Valencia,6.7
K. Lee,M,22,18,4,2,1,0,0,1,4,5,1,1,0,0,0,2,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,7,0,57,Away,Valencia,6.9
K. Gameiro,F,25,18,1,0,1,0,2,2,6,3,0,0,1,2,0,1,0,0,0,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,33,1,9,0,90,Away,Valencia,6.4
C. Rivero,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
T. Lato,D,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,Away,Valencia,0
E. Mangala,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
T. Correia,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
G. Guedes,M,10,8,2,2,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,33,Away,Valencia,7.2
K. Koindredi,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
V. Esquerdo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
Jason,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
M. Vallejo,F,14,11,0,0,0,0,0,0,3,1,2,0,1,1,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,21,0,6,0,32,Away,Valencia,7.2
Á. Blanco,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
R. Sobrino,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Valencia,0
R. Silva,G,32,23,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,9,0,90,Home,Granada,5.7
D. Foulquier,D,39,30,8,4,6,1,1,2,6,3,2,1,1,0,0,1,1,0,0,1,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,80,0,21,0,90,Home,Granada,6.5
G. Sánchez,D,37,31,6,4,0,0,4,3,5,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,0,6,0,90,Home,Granada,6
D. Duarte,D,40,30,7,3,0,0,7,4,7,8,0,0,0,0,1,2,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,47,0,11,0,90,Home,Granada,6.7
C. Neva,D,30,24,4,0,5,1,0,0,1,4,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,12,0,90,Home,Granada,6.3
L. Milla,M,54,40,14,7,2,1,0,0,5,4,5,3,0,0,3,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,73,0,19,0,90,Home,Granada,6.2
M. Gonalons,M,30,24,4,3,0,0,0,0,4,3,0,0,0,0,1,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,6,0,54,Home,Granada,6.3
F. Vico,M,21,16,1,1,2,0,1,1,2,3,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,8,0,54,Home,Granada,6.6
Á. Montoro,M,41,36,10,9,6,2,1,3,7,3,0,0,1,0,0,1,1,0,0,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,57,1,11,0,80,Home,Granada,7.2
D. Machís,M,24,14,1,1,8,4,0,2,7,4,4,2,0,0,3,1,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,52,0,19,0,90,Home,Granada,7
J. Molina,F,9,6,1,1,0,0,4,3,3,7,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,54,Home,Granada,6.9
A. Escandell,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
A. Fàbrega,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
N. Pérez,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
P. Sánchez,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
J. Vallejo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
Y. Eteki,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Granada,0
A. Soro,M,7,5,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,10,Home,Granada,6.3
Y. Herrera,M,21,11,4,3,1,0,5,3,7,9,0,0,0,0,0,1,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,14,0,36,Home,Granada,6.6
R. Soldado,F,8,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,36,Home,Granada,6.7
L. J. Suárez ,F,7,4,0,0,0,0,0,2,3,3,1,1,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,36,Home,Granada,6.9
J. Masip,G,35,17,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,1,1,45,0,18,0,90,Away,Real Valladolid,7.2
P. Hervias,M,24,20,0,0,2,0,0,0,1,2,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,8,0,77,Away,Real Valladolid,6.5
J. Fernandez,D,27,20,5,1,0,0,3,2,4,5,0,0,0,0,1,0,1,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,8,0,90,Away,Real Valladolid,6.8
B. González,D,32,19,5,2,1,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,14,0,90,Away,Real Valladolid,6.7
N. Martinez,D,25,16,8,2,1,1,1,1,4,3,0,0,0,0,3,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,14,0,90,Away,Real Valladolid,6.5
F. Orellana,M,19,14,2,0,2,0,0,1,6,5,4,3,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,11,0,68,Away,Real Valladolid,6.4
F. S. E. Diaz,M,16,11,3,1,0,0,2,0,5,4,0,0,0,0,0,2,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,5,0,77,Away,Real Valladolid,6.4
R. Alcaraz,M,38,21,8,2,0,0,6,2,3,11,2,2,0,0,3,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,19,0,90,Away,Real Valladolid,7.1
Ó. Plano,M,15,9,1,0,2,0,2,2,7,5,0,0,0,1,1,2,0,0,1,3,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,24,0,8,0,77,Away,Real Valladolid,7.3
S. Guardiola,F,19,11,1,1,4,2,0,6,7,6,3,2,1,0,0,0,0,0,1,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,38,0,13,0,90,Away,Real Valladolid,7.7
M. d. Sousa,F,12,7,1,1,0,0,6,7,13,10,4,3,0,0,0,1,0,0,0,4,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,27,0,10,0,90,Away,Real Valladolid,7.4
R. Jiménez,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
I. Vilarrasa,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
L. Pérez,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
J. Sánchez,D,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,Away,Real Valladolid,6.6
S. Janko,D,5,2,2,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,22,Away,Real Valladolid,6.5
M. Herrero,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
W. R. Marin,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
Roque,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
Toni,M,6,6,1,1,0,0,0,2,5,3,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,13,Away,Real Valladolid,6.5
K. Pérez,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
S.Weissman,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Valladolid,0
Jota,F,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,13,Away,Real Valladolid,7.5
J. Ledesma,G,27,12,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,33,0,15,0,90,Home,Cádiz,6.6
I. Carcelén,D,9,6,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,57,Home,Cádiz,6.5
Fali,D,22,14,8,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,8,0,90,Home,Cádiz,7
M. Mauro,D,21,18,0,0,0,0,2,0,1,2,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,90,Home,Cádiz,6.6
A. Espino,D,23,14,5,1,2,0,0,3,5,11,0,0,0,0,0,2,0,0,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,16,0,90,Home,Cádiz,7.2
Salvi,M,11,7,1,0,4,0,0,0,6,4,4,3,0,0,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,13,0,72,Home,Cádiz,6.3
J. Jønsson,M,23,14,1,0,0,0,2,2,6,7,2,0,0,0,2,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,12,0,72,Home,Cádiz,7
J. A. Garrido,M,13,10,2,2,0,0,2,0,2,5,0,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,4,0,45,Home,Cádiz,7
J. I. González,M,21,13,2,0,0,0,1,1,3,4,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,10,0,90,Home,Cádiz,6.6
F. Malbašić,F,6,2,0,0,0,0,2,4,5,4,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,57,Home,Cádiz,6.6
Á. Fernandez,M,35,25,3,0,2,0,1,0,3,5,1,1,0,0,3,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,13,0,90,Home,Cádiz,6.8
D. Gil,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
C. Akapo,D,8,5,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,33,Home,Cádiz,6.5
P. Alcalá,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
I. Alejo,M,2,2,0,0,3,0,1,0,1,5,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,0,33,Home,Cádiz,6.6
Pombo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
A. Perea,M,7,5,1,1,1,0,0,0,2,5,5,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,18,Home,Cádiz,7
Y. Bodiger,M,7,5,0,0,0,0,0,1,4,2,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,4,0,18,Home,Cádiz,6.6
M. Nieto,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
N. Mesa,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
Á. Giménez,F,11,3,2,0,0,0,3,3,5,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,45,Home,Cádiz,6.4
B. Adekanye,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Cádiz,0
Á. Remiro,G,26,21,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,5,0,90,Away,Real Sociedad,7
J. Zaldúa,D,26,22,2,1,5,2,3,0,4,6,1,0,0,0,0,2,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,13,0,90,Away,Real Sociedad,6.9
A. Elustondo,D,61,55,9,6,0,0,2,3,3,6,0,0,0,0,1,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,7,0,90,Away,Real Sociedad,7.4
I. Zubeldia,D,82,67,8,4,0,0,4,1,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,15,0,90,Away,Real Sociedad,7.1
N. Monreal,D,52,43,7,2,5,0,0,2,5,5,0,0,0,0,2,0,1,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,15,0,90,Away,Real Sociedad,7.2
A. Guevara,M,76,69,6,3,0,0,1,2,6,2,0,0,0,0,1,0,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,9,0,89,Away,Real Sociedad,6.7
M. Merino,M,56,46,4,1,0,0,2,1,13,6,5,0,0,2,1,2,2,0,2,3,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,80,0,20,0,84,Away,Real Sociedad,5.9
A. Januzaj,M,30,20,4,2,7,3,1,0,10,3,7,2,2,0,0,0,5,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,58,0,28,0,74,Away,Real Sociedad,7.1
D. Silva,M,53,44,3,2,1,1,0,1,8,7,5,3,1,0,0,2,2,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,15,0,90,Away,Real Sociedad,7.2
M. Oyarzabal,M,34,30,1,1,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,48,2,7,0,85,Away,Real Sociedad,7
A. Isak,F,12,7,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19,2,7,0,74,Away,Real Sociedad,7.2
M. Á. Moyà,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
G. Ayesa,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
A. Muñoz,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
U. González,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
Portu,M,5,5,0,0,0,0,0,0,4,1,1,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,16,Away,Real Sociedad,6.5
R. López,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
J. Guridi,M,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,10,Away,Real Sociedad,6.6
M. Zubimendi,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Away,Real Sociedad,0
W. José,F,11,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,16,Away,Real Sociedad,6.6
A. Barrenetxea,F,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,10,Away,Real Sociedad,6.4
J. Bautista,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
M. Merquelanz,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Real Sociedad,0
M. Dmitrović,G,29,14,26,11,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,1,1,38,0,15,0,90,Home,Eibar,7.6
Róber,D,29,13,8,2,4,1,8,7,8,12,0,0,0,0,3,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,24,0,90,Home,Eibar,7.3
P. Oliveira,D,41,22,21,9,0,0,3,1,3,5,0,0,0,0,1,1,0,0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,20,0,90,Home,Eibar,6.9
P. Bigas,D,28,17,12,6,0,0,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,12,0,90,Home,Eibar,7
A. Arbilla,D,49,28,18,6,4,1,1,3,4,5,4,4,0,0,4,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83,0,28,0,90,Home,Eibar,7.3
P. León,M,7,3,2,1,4,2,1,5,7,2,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,62,Home,Eibar,6.7
